20,6616658.90122,-9238104.65839
21.943,6189985.80662,-8711498.06096
24.075,5831198.34132,-8211657.53429
26.414,5509311.31084,-7880261.25849
28.98,5207445.24349,-7411546.25913
31.796,4828229.42697,-7059771.228
34.885,4520192.68027,-6426880.92422
38.274,4276602.41261,-6114362.54804
41.993,4002056.27087,-5816828.10487
46.073,3796242.93602,-5495614.38528
50.549,3602915.97113,-5238185.84146
55.46,3365847.99855,-4928252.68239
60.849,3164865.15074,-4657151.80221
66.761,3004650.31994,-4417576.2543
73.247,2823130.72366,-4170610.00217
80.363,2670501.54984,-3957590.2981
88.171,2525080.75777,-3739761.09021
96.737,2385115.77823,-3523634.86012
106.136,2243800.52801,-3323699.99984
116.448,2103804.78582,-3146229.39557
127.761,1982491.82075,-2965685.37105
140.174,1865843.17653,-2806878.84703
153.793,1746219.15209,-2637357.66698
168.735,1651772.20354,-2491692.67677
185.128,1552895.1946,-2357018.19284
203.115,1461379.12826,-2222777.9646
222.849,1382985.6204,-2100319.42024
244.5,1309110.45559,-1976597.80476
268.254,1232786.23871,-1861869.419
294.317,1165430.95236,-1755402.62584
322.912,1100055.72128,-1656397.64342
354.284,1041185.51998,-1560733.39726
388.705,984783.223191,-1467281.40624
426.471,929622.708222,-1386482.24085
467.905,879580.803785,-1308832.71
513.365,832071.41319,-1236569.92532
563.241,785224.947659,-1164768.99686
617.964,743134.801239,-1095542.81151
678.003,702704.070543,-1035845.57957
743.875,665731.36293,-978011.379068
816.147,631137.464893,-922153.706319
895.44,596383.133229,-870381.302038
982.438,566905.704528,-823113.08388
1077.888,537941.174214,-776853.019821
1182.611,510653.557339,-734275.362307
1297.509,482817.901274,-693801.950022
1423.571,456732.598907,-655820.437854
1561.879,432769.771726,-620115.460863
1713.625,410590.404368,-586420.821736
1880.115,389184.424378,-554672.599945
2062.78,368403.38976,-525381.382826
2263.191,348725.72374,-497689.033194
2483.074,329928.079664,-471342.041917
2724.32,312030.116776,-446671.60708
2989.005,294732.467743,-423169.085875
3279.405,278380.51453,-400876.075149
3598.02,262552.947614,-379590.620514
3947.59,247693.072663,-359549.486426
4331.122,233399.166677,-340807.719685
4751.918,219857.142541,-323065.840159
5213.596,206868.200824,-306128.945374
5720.129,194682.999342,-289831.125782
6275.875,182989.495799,-274414.177264
6885.615,171892.863387,-259767.461024
7554.595,161361.824009,-245824.727831
8288.571,151486.086784,-232650.124616
9093.857,142072.442708,-219975.913669
9977.381,133266.453869,-207999.253128
10946.746,124964.124025,-196599.820565
12010.29,117092.173108,-185846.147323
13177.164,109637.709639,-175545.920142
14457.407,102689.26016,-165799.809637
15862.033,96117.9150215,-156538.323871
17403.128,89922.9891881,-147788.923497
19093.949,84136.9325746,-139498.287009
20949.045,78671.0236922,-131606.927129
22984.374,73525.3745348,-124190.705007
25217.448,68706.6956218,-117102.536947
27667.479,64162.6931163,-110427.713774
30355.546,59893.0986923,-104082.706811
33304.775,55894.8099231,-98089.8131133
36540.54,52119.9787866,-92412.2786887
40090.68,48588.0162773,-87027.3710831
43985.737,45277.8321376,-81950.3830049
48259.224,42184.0562864,-77132.2270502
52947.906,39274.4073147,-72573.4458459
58092.122,36550.9809738,-68259.7168452
63736.132,34008.3872186,-64185.7542484
69928.491,31628.0749471,-60343.7797402
76722.477,29403.0105513,-56707.5626303
84176.54,27327.0800812,-53270.5715211
92354.811,25388.0674054,-50016.68791
101327.653,23579.1290287,-46953.4597274
111172.261,21884.9624845,-44059.677767
121973.334,20318.012613,-41333.3568867
133823.798,18857.5662339,-38763.4018462
146825.608,17497.6592703,-36338.3195944
161090.624,16233.2546683,-34050.9379026
176741.575,15057.2513712,-31903.064286
193913.112,13964.2897424,-29878.6283088
212752.971,12946.9715071,-27971.5712913
233423.238,12005.4025582,-26177.5208918
256101.75,11128.8106543,-24493.33139
280983.619,10316.7301166,-22908.7136868
308282.916,9564.19587182,-21419.958894
338234.509,8865.17505472,-20022.6418302
371096.084,8219.92626114,-18709.9605789
407150.364,7621.29652664,-17479.3758491
446707.541,7067.31346683,-16324.4909431
490107.943,6554.57759189,-15242.703328
537724.961,6080.24488421,-14228.9952002
589968.268,5641.47901935,-13278.878674
647287.335,5235.92177141,-12388.9799833
710175.304,4860.84524457,-11556.0088732
779173.229,4513.93832836,-10776.2568835
854874.729,4194.16376504,-10046.7569522
937931.097,3898.6129459,-9364.85709362
1029056.906,3625.36043758,-8727.67596474
1129036.151,3372.82215825,-8132.1282037
1238728.998,3140.19168429,-7576.0073925
1359079.184,2925.04559971,-7056.58373936
1491122.135,2733.07350746,-6578.81043161
1635993.876,2544.1472897,-6130.26204328
1794940.802,2374.07069283,-5704.85095874
1969330.406,2218.10048277,-5305.20452097
2160663.038,2073.74457255,-4939.84848667
2370584.82,1939.07077797,-4600.00334595
2600901.801,1817.31758342,-4282.66968786
2853595.502,1703.19520526,-3987.72250622
3130839.959,1600.71755051,-3711.27748762
3435020.431,1504.86494541,-3453.89957946
3768753.917,1410.11059887,-3218.76862038
4134911.677,1326.13874251,-2998.37826369
4536643.927,1251.68123805,-2792.11337553
4977406.952,1180.17716812,-2602.33357912
5460992.831,1088.92558254,-2446.71962155
5991562.07,1025.07072725,-2281.55092275
6573679.393,966.128166043,-2128.36733006
7212353.016,911.110737245,-1987.20876168
7913077.732,859.015358129,-1855.85414924
8681882.189,810.572036498,-1733.93264656
9525380.756,764.552237216,-1621.58725379
10450830.427,721.34878052,-1517.7489119
11466193.259,679.906166065,-1420.99806767
12580204.872,640.440330695,-1330.99666596
