Source.Name,freq,real,imag
data9.csv,20,30794266.74,-44523505.28
data9.csv,21.943,28674416.3,-40486863.52
data9.csv,24.075,26163310.33,-40055963.43
data9.csv,26.414,24403538.5,-37074572.86
data9.csv,28.98,22613648.92,-35087062.27
data9.csv,31.796,22264627.69,-33969209.72
data9.csv,34.885,20679672.95,-31707288.95
data9.csv,38.274,19373987.03,-29767935.85
data9.csv,41.993,18603800.99,-28328206.67
data9.csv,46.073,17530892.25,-26290277.65
data9.csv,50.549,16843333.44,-24333218.47
data9.csv,55.46,15675373.03,-23694884.87
data9.csv,60.849,15118345.31,-22141703.46
data9.csv,66.761,15165021.75,-20434494.74
data9.csv,73.247,14135459.2,-19371438.14
data9.csv,80.363,13739779.77,-18364511.13
data9.csv,88.171,12967598.75,-17307262.69
data9.csv,96.737,12599241.2,-16280803.08
data9.csv,106.136,11872424.59,-15585666.48
data9.csv,116.448,11118902.11,-14363044.78
data9.csv,127.761,10721323.55,-13914761.82
data9.csv,140.174,10027311.95,-13125914.5
data9.csv,153.793,9405133.771,-12365355.18
data9.csv,168.735,9037907.878,-11590941.44
data9.csv,185.128,8505782.319,-11236591.83
data9.csv,203.115,8065366.005,-10634036.48
data9.csv,222.849,7710995.771,-10018862.57
data9.csv,244.5,7426263.118,-9426981.697
data9.csv,268.254,7024412.236,-9020327.46
data9.csv,294.317,6738635.757,-8565849.002
data9.csv,322.912,6374548.487,-8167562.845
data9.csv,354.284,6087532.842,-7706214.771
data9.csv,388.705,5813163.94,-7351136.835
data9.csv,426.471,5491221.943,-7002176.585
data9.csv,467.905,5242814.855,-6658440.522
data9.csv,513.365,4863251.616,-6398944.051
data9.csv,563.241,4649711.747,-6086152.142
data9.csv,617.964,4361500.117,-5788395.919
data9.csv,678.003,4073623.296,-5590062.912
data9.csv,743.875,3839646.608,-5301727.463
data9.csv,816.147,3585716.301,-5120788.298
data9.csv,895.44,3354789.23,-4859217.97
data9.csv,982.438,3143532.211,-4650375.135
data9.csv,1077.888,2987739.161,-4459804.769
data9.csv,1182.611,2814878.138,-4256198.417
data9.csv,1297.509,2572038.702,-4044037.541
data9.csv,1423.571,2367944.022,-3844392.835
data9.csv,1561.879,2176822.052,-3644686.252
data9.csv,1713.625,2024098.732,-3454374.361
data9.csv,1880.115,1866175.707,-3275823.788
data9.csv,2062.78,1711016.291,-3106919.687
data9.csv,2263.191,1561847.349,-2935584.847
data9.csv,2483.074,1433053.02,-2776045.785
data9.csv,2724.32,1305339.482,-2619826.353
data9.csv,2989.005,1193429.238,-2459357.61
data9.csv,3279.405,1084873.911,-2311993.642
data9.csv,3598.02,988544.7591,-2162163.801
data9.csv,3947.59,900466.466,-2023063.76
data9.csv,4331.122,820580.4965,-1895114.239
data9.csv,4751.918,740535.3081,-1776415.042
data9.csv,5213.596,673773.0189,-1661602.685
data9.csv,5720.129,614038.0475,-1547629.21
data9.csv,6275.875,559146.3991,-1440563.785
data9.csv,6885.615,508204.0422,-1342998.81
data9.csv,7554.595,462826.1464,-1251505.032
data9.csv,8288.571,422445.3144,-1162632.544
data9.csv,9093.857,385902.6756,-1081685.965
data9.csv,9977.381,353180.1748,-1005530.066
data9.csv,10946.746,323494.9702,-934894.6105
data9.csv,12010.29,296161.6946,-868495.165
data9.csv,13177.164,270671.4966,-805636.3404
data9.csv,14457.407,248791.1504,-748604.9954
data9.csv,15862.033,228726.7373,-694751.5601
data9.csv,17403.128,209774.7014,-644856.6509
data9.csv,19093.949,192910.8053,-599395.3139
data9.csv,20949.045,177481.4922,-556176.9744
data9.csv,22984.374,162760.8025,-516971.9844
data9.csv,25217.448,150147.3553,-479913.7883
data9.csv,27667.479,137884.9779,-445557.0614
data9.csv,30355.546,126711.5869,-413559.3262
data9.csv,33304.775,116472.3356,-384080.6649
data9.csv,36540.54,106798.1888,-356476.7378
data9.csv,40090.68,98058.71051,-330749.8802
data9.csv,43985.737,89854.10054,-307022.3925
data9.csv,48259.224,82402.63264,-284878.0603
data9.csv,52947.906,75481.37761,-264230.3262
data9.csv,58092.122,69066.64705,-245004.7192
data9.csv,63736.132,63232.66685,-227169.4643
data9.csv,69928.491,57790.83381,-210631.2088
data9.csv,76722.477,52812.7062,-195225.363
data9.csv,84176.54,48242.30468,-180871.6799
data9.csv,92354.811,44111.47116,-167473.3991
data9.csv,101327.653,40234.51745,-155098.7392
data9.csv,111172.261,36692.12413,-143566.2817
data9.csv,121973.334,33483.86554,-132852.2466
